"codigo","descripcion","lista1","lista2","lista3","lista4","lista5","linea","rubro","capacidad","pack"
"1111","BUDWEISER 12 X 1","21.26","21.26","21.26","21.26","21.26","BUDWEISER","1","","12"
"1216","HEINEKEN. LOINECK 24 X 330","49.27","49.27","49.27","49.27","49.27","HEINEKEN","1","","24"
"1215","HEINEKEN LATA 24X473","68.85","68.85","68.85","68.85","68.85","HEINEKEN","1","","24"
"1214","HINEKEN LATA 24 X 350","43.42","43.42","43.42","43.42","43.42","HEINEKEN","1","","24"
"1213","HEINEKEN 6 X 1","41.51","41.51","41.51","41.51","41.51","HEINEKEN","1","","6"
"1212","HEINEKEN 12 X 650","26.77","26.77","26.77","26.77","26.77","HEINEKEN","1","","12"
"1211","HEINEKEN 12 X 1","21.26","21.26","21.26","21.26","21.26","HEINEKEN","1","","12"
"1115","BUD. LOINECK  24 X 355","68.85","68.85","68.85","68.85","68.85","BUDWEISER","1","","24"
"1112","BUDWEISER 12 X 650","26.77","26.77","26.77","26.77","26.77","BUDWEISER","1","","12"
"1113","BUDWEISER 6 X 1","41.51","41.51","41.51","41.51","41.51","BUDWEISER","1","","6"
"1114","BUD LATA 24 X 355","43.42","43.42","43.42","43.42","43.42","BUDWEISER","1","","24"
"1311","SCHNEIDER 12 X 1","21.26","21.26","21.26","21.26","21.26","SCHNEIDER","1","","12"
"1312","SCHNEIDER 12 X 1 NEGRA","26.77","26.77","26.77","26.77","26.77","SCHNEIDER","1","","12"
"1313","SCHNEIDER LOINECK 24 X 355","41.51","41.51","41.51","41.51","41.51","SCHNEIDER","1","","24"
"1411","NEGRA MODELO 12 X 330","21.26","21.26","21.26","21.26","21.26","CORONA","1","","24"
"1511","CORONA 24 X 330","21.26","21.26","21.26","21.26","21.26","MODELO","1","","24"
"1611","GUINNESS 24 X 330","21.26","21.26","21.26","21.26","21.26","GUINNES","1","","24"
"2111","NATIVO 8 X 1 TINTO","28.35","28.35","28.35","28.35","28.35","NATIVO","2","","8"
"2112","NATIVO 6 X 3/4 TINTO","35.7","35.7","35.7","35.7","35.7","NATIVO","2","","6"
"2113","NATIVO 12 X 1 TINTO","55.35","55.35","55.35","55.35","55.35","NATIVO","2","","12"
"2121","NATIVO 8 X 1 ROSADO","28.35","28.35","28.35","28.35","28.35","NATIVO","2","","8"
"2122","NATIVO 6 X 3/4 ROSADO","35.7","35.7","35.7","35.7","35.7","NATIVO","2","","6"
"2123","NATIVO 12 X 1 ROSADO","55.35","55.35","55.35","55.35","55.35","NATIVO","2","","12"
"2131","NATIVO 8 X 1 BLANCO","28.35","28.35","28.35","28.35","28.35","NATIVO","2","","8"
"2132","NATIVO 6 X 3/4 BLANCO","35.7","35.7","35.7","35.7","35.7","NATIVO","2","","6"
"2133","NATIVO 12 X 1 BLANCO","55.35","55.35","55.35","55.35","55.35","NATIVO","2","","12"
"2211","TORO 12 X 1 TINTO","28.35","28.35","28.35","28.35","28.35","TORO","2","","12"
"2212","TORO 8  X 1 TINTO","35.7","35.7","35.7","35.7","35.7","TORO","2","","8"
"2221","TORO 12 X 1 ROSADO","28.35","28.35","28.35","28.35","28.35","TORO","2","","12"
"2222","TORO 8 X 1 ROSADO","35.7","35.7","35.7","35.7","35.7","TORO","2","","8"
"2231","TORO 12 X 1 BLANCO","28.35","28.35","28.35","28.35","28.35","TORO","2","","12"
"2232","TORO 8 X 1 BLANCO","35.7","35.7","35.7","35.7","35.7","TORO","2","","8"
"2312","TORO VIEJO 6 X 3/4 ROSADO","35.7","35.7","35.7","35.7","35.7","TORO VIEJO","2","","6"
"2311","TORO VIEJO 6 X 3/4 TINTO","28.35","28.35","28.35","28.35","28.35","TORO VIEJO","2","","6"
"2313","TORO VIEJO 6 X 3/4 BLANCO","55.35","55.35","55.35","55.35","55.35","TORO VIEJO","2","","6"
"2314","TORO V. LACRADO 6 X 3/4","57.9","57.9","57.9","57.9","57.9","TORO VIEJO","2","","6"
"2315","TORO SIRAK 6 X 3/4 TINTO","91.8","91.8","91.8","91.8","91.8","TORO VIEJO","2","","6"
"2316","TORO V. SIRAK 6  X 1250 TTO","65.7","65.7","65.7","65.7","65.7","TORO VIEJO","2","","6"
"2317","TORO V.  6  X 1250 TORRONTES","1.5","1.5","1.5","1.5","1.5","TORO VIEJO","2","","6"
"2411","TORITO 6 X 3/4 TINTO","28.35","28.35","28.35","28.35","28.35","TORITO","2","","6"
"2412","TORITO 6 X 3/4 ROSADO","35.7","35.7","35.7","35.7","35.7","TORITO","2","","6"
"2413","TORITO 6 X 3/4 BLANCO","55.35","55.35","55.35","55.35","55.35","TORITO","2","","6"
